movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,901423
霸王别姬,2,9.5,649526
这个杀手不太冷,3,9.4,858400
阿甘正传,4,9.4,730680
美丽人生,5,9.5,426478
千与千寻,6,9.2,681332
辛德勒的名单,7,9.4,392452
泰坦尼克号,8,9.2,671888
盗梦空间,9,9.2,781254
机器人总动员,10,9.3,509895
海上钢琴师,11,9.2,611375
三傻大闹宝莱坞,12,9.1,691065
忠犬八公的故事,13,9.2,468766
放牛班的春天,14,9.2,464121
大话西游之大圣娶亲,15,9.2,501811
教父,16,9.2,351910
龙猫,17,9.1,428655
楚门的世界,18,9.1,469012
乱世佳人,19,9.2,276672
天堂电影院,20,9.1,315635
触不可及,21,9.1,374477
当幸福来敲门,22,8.9,551338
熔炉,23,9.2,261941
无间道,24,9.0,410166
搏击俱乐部,25,9.0,410896
十二怒汉,26,9.4,175364
星际穿越,27,9.1,497507
怦然心动,28,8.9,561906
指环王3：王者无敌,29,9.1,290167
少年派的奇幻漂流,30,9.0,589710
天空之城,31,9.0,339467
鬼子来了,32,9.2,233912
蝙蝠侠：黑暗骑士,33,9.0,328383
罗马假日,34,8.9,392773
活着,35,9.1,273541
大话西游之月光宝盒,36,8.9,405197
两杆大烟枪,37,9.0,277769
飞屋环游记,38,8.9,505754
窃听风暴,39,9.1,226972
飞越疯人院,40,9.0,281510
海豚湾,41,9.3,183951
闻香识女人,42,8.9,326558
V字仇杀队,43,8.8,422600
哈尔的移动城堡,44,8.9,354456
控方证人,45,9.6,90434
教父2,46,9.1,189486
美丽心灵,47,8.9,308501
指环王2：双塔奇兵,48,8.9,273645
死亡诗社,49,8.9,281324
指环王1：魔戒再现,50,8.9,305871
情书,51,8.8,379154
辩护人,52,9.1,206974
天使爱美丽,53,8.7,486320
美国往事,54,9.1,176648
饮食男女,55,9.0,199958
钢琴家,56,9.0,204534
狮子王,57,8.9,283837
七宗罪,58,8.7,438634
疯狂动物城,59,9.2,501702
被嫌弃的松子的一生,60,8.9,285171
致命魔术,61,8.8,346052
小鞋子,62,9.2,137820
勇敢的心,63,8.8,296994
剪刀手爱德华,64,8.7,486511
音乐之声,65,8.9,233039
低俗小说,66,8.8,336035
素媛,67,9.1,178185
本杰明·巴顿奇事,68,8.7,395076
黑客帝国,69,8.8,281819
入殓师,70,8.8,319754
沉默的羔羊,71,8.7,354423
拯救大兵瑞恩,72,8.9,238121
西西里的美丽传说,73,8.7,348542
玛丽和马克思,74,8.9,232732
蝴蝶效应,75,8.7,382423
春光乍泄,76,8.8,245831
让子弹飞,77,8.7,622862
心灵捕手,78,8.7,270545
大闹天宫,79,9.2,98375
幽灵公主,80,8.8,234509
阳光灿烂的日子,81,8.7,269791
第六感,82,8.8,234831
重庆森林,83,8.6,329045
大鱼,84,8.7,251914
射雕英雄传之东成西就,85,8.7,275451
禁闭岛,86,8.6,358079
甜蜜蜜,87,8.7,231961
阳光姐妹淘,88,8.8,267500
上帝之城,89,8.9,157795
一一,90,8.9,155281
致命ID,91,8.6,317177
狩猎,92,9.0,126359
告白,93,8.7,340845
